Key,SourceString,en
HUD.Day,"День","Day"
HUD.EndTurn,"Завершить ход","End Turn"
Tooltip.PerTurn,"/ход  ","/turn  "
Tooltip.NoDescription,"Нет описания","No description"
Stats.Health,"Здоровье","Health"
Stats.Damage,"Урон","Damage"
Stats.Speed,"Скорость","Speed"
Stats.Range,"Радиус","Range"
Stats.SplashArea,"Область","Area"
Stats.CritChance,"Шанс крита","Crit Chance"
Stats.CritDamage,"Крит. урон","Crit Damage"
Stats.Yes,"Да","Yes"
Stats.No,"Нет","No"
MatchResult.Win,"Победа","Victory"
MatchResult.Lose,"Поражение","Defeat"
MatchResult.Endless,"Бесконечный режим","Endless run"
MatchResult.Abandoned,"Прервано","Abandoned"
Player.Self,"Ты","You"
Build.NotEnoughResources,"Недостаточно ресурсов!","Not enough resources!"
Construction.Hint,"ЛКМ — построить, ПКМ — отмена","LMB — build, RMB — cancel"
Building.Name.WoodenHouse,"Деревянный дом","Wooden House"
Building.Name.StoneHouse,"Каменный дом","Stone House"
Building.Name.GrainField,"Поле злаков","Grain Field"
Building.Name.WheatMill,"Пшеничная мельница","Wheat Mill"
Building.Name.MagicHouse,"Магический дом","Magic House"
Building.Name.WoodWall,"Деревянная стена","Wood Wall"
Building.Name.StoneWall,"Каменная стена","Stone Wall"
Building.Name.TowerT0,"Башня лучников","Archer Tower"
Building.Name.TowerT1,"Каменная башня","Stone Tower"
Building.Name.TowerT2,"Башня магическая","Magic Tower"
Building.Name.TowerMortira,"Мортира","Mortar"
Building.Description.WoodenHouse,"Простое жилище из дерева. Даёт жителей.","Simple wooden dwelling. Provides population."
Building.Description.StoneHouse,"Каменный дом — больше жителей, дороже в содержании.","Stone house — more population, higher upkeep."
Building.Description.GrainField,"Поле злаков — основной источник пищи.","Grain field — main food source."
Building.Description.WheatMill,"Мельница превращает зерно в муку с бонусом к доходу.","Mill turns grain into flour with a bonus to income."
Building.Description.MagicHouse,"Жилище магов. Особый ресурс, высокое содержание.","Mage dwelling. Special resource, high upkeep."
Building.Description.WoodWall,"Лёгкая деревянная стена. Останавливает первые волны.","Light wooden wall. Holds early waves."
Building.Description.StoneWall,"Прочная каменная стена. Держит долго.","Sturdy stone wall. Holds long."
Building.Description.TowerT0,"Простая башня. Стреляет одиночными стрелами.","Simple tower. Fires single arrows."
Building.Description.TowerT1,"Каменная башня. Больше урон и дальность.","Stone tower. More damage and range."
Building.Description.TowerT2,"Это бум? Или не бум?","Boom? Or no boom?"
Building.Description.TowerMortira,"Мортира — медленная, но бьёт по площади.","Mortar — slow but hits an area."
MainMenu.NewGame,"Новая игра","New Game"
MainMenu.Settings,"Настройки","Settings"
MainMenu.Exit,"Выход","Exit"
Settings.Title,"Настройки","Settings"
Settings.Volume.Music,"Громкость музыки","Music Volume"
Settings.Volume.Effects,"Громкость эффектов","Effects Volume"
Settings.Volume.Ambient,"Громкость фоновых звуков","Ambient Volume"
Settings.Volume.UI,"Громкость интерфейса","UI Volume"
Settings.Language,"Язык","Language"
Common.OK,"OK","OK"
